FEDERAL RECREATION AREA/SITE,PHONE,CITY,STATE,WEBSITE,ANNUAL SENIOR,ACCESS MILITARY 4th GRADE
Canyonlands National Park,435-719-2313,Moab,UT,http://www.nps.gov/cany/,YES,YES
Capitol Reef National Park,435-425-3791,Torrey,UT,http://www.nps.gov/care/,YES,YES
Cedar Breaks National Monument,435-586-9451,Cedar City,UT,http://www.nps.gov/cebr/,YES,YES
Cedar City Field Office - BLM,435-586-2401,Cedar City,UT,utccmail@blm.gov,YES,YES
Dinosaur National Monument (Passes only sold at UT location)),970-374-3000,Vernal,UT,http://www.nps.gov/dino/,YES,YES
Dixie NF - Escalante District,435-826-5400,Escalante,UT,http://www.fs.fed.us/r4/dixie/contact/,YES,YES
Dixie NF - Interagency Office,435-688-3246,St. George,UT,http://www.fs.fed.us/r4/dixie/contact/,YES,YES
Dixie NF - Powell District,435-676-9300,Panguitch,UT,http://www.fs.fed.us/r4/dixie/contact/,YES,YES
Dixie NF - Red Canyon Visitor Center,435-676-2676,Panguitch,UT,http://www.fs.fed.us/r4/dixie/contact/,YES,YES
Dixie NF - SO/CCRD,435-865-3700,Cedar City,UT,http://www.fs.fed.us/r4/dixie/contact/,YES,YES
Escalante Field Station - BLM,435-826-5600,Escalante,UT,Mail_UT_Escalante@blm.gov,YES,YES
Fillmore Field Office - BLM,435-743-3100,Fillmore,UT,utfmmail@blm.gov,YES,YES
Fishlake NF - Beaver District,435-438-2436,Beaver,UT,http://www.fs.fed.us/r4/fishlake/contact/index.shtml,NO,YES
Fishlake NF - Fillmore District,435-743-5721,Fillmore,UT,http://www.fs.fed.us/r4/fishlake/contact/index.shtml,NO,YES
Fishlake NF - Fremont River District,435-836-2800,Loa,UT,http://www.fs.fed.us/r4/fishlake/contact/index.shtml,NO,YES
Fishlake NF - Main Office,435-896-9233,Richfield,UT,http://www.fs.fed.us/r4/fishlake/contact/index.shtml,NO,YES
Golden Spike National Historic Site,435-471-2209,Brigham City,UT,http://www.nps.gov/gosp/,YES,YES
Grand Canyon - Parashant National Monument (passes sold at the Arizona Strip District Office in Utah),435-688-3200,St. George,UT,http://www.nps.gov/para/,YES,YES
Grand Staircase Escalante National Monument - Kanab Visitor Center,435-644-4680,Kanab,UT,escalante_interagency@blm.gov,YES,YES
Henry Mountains Field Station,435-542-3461,Hanksville,UT,http://www.blm.gov/ut/st/en/info/directory/richfield_fo.html,YES,YES
Interagency Visitors Center,435-688-3246,St. George,UT,http://www.fs.fed.us/r4/dixie/contact/,YES,YES
Kanab BLM Field Office,435-644-4600,Kanab,UT,http://www.blm.gov/ut/st/en/fo/kanab.html,YES,YES
Manti-La Sal NF - Ferron/Price District,435-384-2372,Ferron,UT,http://www.fs.fed.us/r4/mantilasal/contact/districts.shtml,YES,YES
Manti-La Sal NF - Main Office,435-637-2817,Price,UT,http://www.fs.fed.us/r4/mantilasal/contact/districts.shtml,YES,YES
Manti-La Sal NF - Moab District,435-259-7155,Moab,UT,http://www.fs.fed.us/r4/mantilasal/contact/districts.shtml,YES,YES
Manti-La Sal NF - Monticello District,435-587-2041,Monticello,UT,http://www.fs.fed.us/r4/mantilasal/contact/districts.shtml,YES,YES
Manti-La Sal NF - Sanpete District,435-283-4151,Ephraim,UT,http://www.fs.fed.us/r4/mantilasal/contact/districts.shtml,YES,YES
Moab BLM Field Office,435-259-2100,Moab,UT,http://www.blm.gov/ut/st/en/fo/moab.html,YES,YES
Monticello BLM Field Office,435-587-1500,Monticello,UT,http://www.blm.gov/ut/st/en/fo/monticello.html,YES,YES
Natural Bridges National Monument,435-692-1234,Blanding,UT,http://www.nps.gov/nabr/,YES,YES
Price BLM Field Office,435-636-3600,Price,UT,http://www.blm.gov/ut/st/en/fo/price.html,YES,YES
Rainbow Bridge National Monument,928-608-6200,"Page, AZ",UT,http://www.nps.gov/rabr/,YES,YES
Richfield BLM Field Office,435-896-1500,Richfield,UT,http://www.blm.gov/ut/st/en/fo/richfield.html,YES,YES
Salt Lake City BLM Field Office,801-977-4300,Salt Lake City,UT,http://www.blm.gov/ut/st/en/fo/salt_lake.html,YES,YES
St George Field Office - BLM,435-688-3200,St George,UT,utsgmail@blm.gov,YES,YES
Timpanogos Cave National Monument,801-756-5239,American Fork,UT,http://www.nps.gov/tica/,YES,YES
Uinta-Wasatch-Cache NF - American Fork Fee Station,801-785-3563,American Fork,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Bear River Ranger Station,435-642-6662,Mirror Lake Scenic Byway,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Heber-Kamas District,435-654-0470,Heber City,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Kamas Work Center,435-783-4338,Kamas,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Logan District,435-755-3620,Logan,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Main Office,801-342-5100,Provo,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Pleasant Grove District,801-785-3563,Pleasant Grove,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Public Lands Information Center (REI Store),801-466-6411,Salt Lake City,UT,http://www.fs.fed.us/r4/uwc/contact,YES,NO
Uinta-Wasatch-Cache NF - SLC SO Office,801-236-3400,Salt Lake City,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Uinta-Wasatch-Cache NF - Spanish Fork District,801-798-3571,Spanish Fork,UT,http://www.fs.fed.us/r4/uwc/contact,YES,YES
Utah BLM Office,801-539-4001,Salt Lake City,UT,http://www.blm.gov/ut/st/en.html,YES,YES
Vernal BLM Field Office,435-781-4400,Vernal,UT,http://www.blm.gov/ut/st/en/fo/vernal.html,YES,YES
Zion National Park,435-772-3256,Springdale,UT,http://www.nps.gov/zion/,YES,YES
Appomattox Court House Historical Park,434-352-8987,Appomattox,VA,http://www.nps.gov/apco/,YES,YES
Assateague Island National Seashore (see MD),410-641-1441,Chincoteaque,VA,http://www.nps.gov/asis/,YES,YES
Back Bay NWR,757-301-7329,Virginia Beach,VA,http://www.fws.gov/refuge/back_bay,YES,YES
Chincoteague NWR,757-336-6122,Chincoteaque Island,VA,http://www.fws.gov/northeast/chinco/,YES,YES
Colonial National Historical Park,757-898-2410,Yorktown,VA,http://www.nps.gov/colo/,YES,YES
Colonial National Historical Park,757-856-1259,Jamestown,VA,http://www.nps.gov/colo/,YES,YES
Eastern States BLM Field Office,703-440-1600,Springfield,VA,http://www.blm.gov/es/st/en/info/directory.2.html,YES,YES
Eastern Virginia Rivers NWR Complex ,804-333-1470,Warsaw,VA,http://www.fws.gov/northeast/easternvirginiarivers/,YES,YES
Great Dismal Swamp NWR,757-986-3705,Suffolk,VA,http://www.fws.gov/northeast/greatdismalswamp/,NO,YES
Great Falls Park,703-285-2965,McLean,VA,http://www.nps.gov/grfa/,YES,YES
Great Falls Park,703-285-2965,McLean,VA,http://www.nps.gov/grfa/,YES,YES
John H. Kerr Dam and Reservoir,434-738-6143 x6168,Boydton,VA,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/JohnHKerr.aspx,YES,YES
John W. Flannagan Dam,276-835-9544,Haysi,VA,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/Virginia/JohnWFlannaganDamReservoir.aspx,YES,YES
Occoquan Bay NWR,703-490-4979,Woodbridge,VA,http://www.fws.gov/refuges/profiles/index.cfm?id=51611,YES,YES
Petersburg National Battlefield - Eastern Front V.C.,804-732-3531,Petersburg,VA,http://www.nps.gov/pete/,NO,YES
Petersburg National Battlefield - Five Forks Battlefield V.C.,804-469-4093,Dinwiddie,VA,http://www.nps.gov/pete/,NO,YES
Philpott Lake,276-629-2703,Bassett,VA,http://www.saw.usace.army.mil/Locations/DistrictLakesandDams/Philpott.aspx,YES,YES
Prince William Forest Park,703-221-7181,Triangle,VA,http://www.nps.gov/prwi/,YES,YES
Richmond National Battlefield Park,804-771-2145,Richmond,VA,http://www.nps.gov/rich/,YES,YES
Shenandoah National Park - Front Royal Entrance,540-999-3500,Front Royal,VA,http://www.nps.gov/shen/,YES,YES
Shenandoah National Park - Rockfish Entrance,540-999-3500,Afton,VA,http://www.nps.gov/shen/,YES,YES
Shenandoah National Park - Swift Run Entrance,540-999-3500,Elkton,VA,http://www.nps.gov/shen/,YES,YES
Shenandoah National Park - Thornton Gap Entrance,540-999-3500,Luray,VA,http://www.nps.gov/shen/,YES,YES
Washington & Jefferson NF - Clinch District,276-328-2931,Wise,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Washington & Jefferson NF - Eastern Divide District,540-552-4641,Blacksburg,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Washington & Jefferson NF - Glenwood/Pedlar Districts,540-291-2188,Natural Bridge Station,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Washington & Jefferson NF - James River District,540-962-2214,Covington,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Washington & Jefferson NF - Lee District,540-984-4101,Edinburg,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Washington & Jefferson NF - Mount Rogers NRA,276-783-5196,Marion,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Washington & Jefferson NF - North River District,540-432-0187,Harrisonburg,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Washington & Jefferson NF - Warm Springs District,540-839-2521,Hot Springs,VA,http://www.fs.fed.us/r8/gwj/contact/index.shtml,YES,YES
Christiansted National Historic Site,340-773-1460,"Christiansted, St. Croix",VI,http://www.nps.gov/chri,YES,YES
Virgin Islands National Park,340-776-6201 x 238,"Cruz Bay, St. John",VI,http://www.nps.gov/viis,NO,YES
Virgin Islands National Park,340-776-6201 x 238,"Trunk Bay, St. John",VI,http://www.nps.gov/viis,NO,YES
Ball Mountain Lake,802-874-4881,Jamaica,VT,http://www.nae.usace.army.mil/Missions/Recreation/BallMountainLake.aspx,YES,YES
Green Mountain NF - Main Office,802-747-6700,Rutland,VT,http://www.fs.fed.us/r9/gmfl/,YES,YES
Green Mountain NF - Manchester Station,802-362-2307,Manchester,VT,http://www.fs.fed.us/r9/gmfl/index.htm,YES,YES
Green Mountain NF - Middlebury Station,802-388-4362,Middlebury,VT,http://www.fs.fed.us/r9/gmfl/index.htm,YES,YES
Green Mountain NF - Rochester Station,802-767-4261,Rochester,VT,http://www.fs.fed.us/r9/gmfl/index.htm,YES,YES
Marsh-Billings-Rockefeller National Historical Park,802-457-3368,Woodstock,VT,http://www.nps.gov/mabi/,YES,YES
Missisquoi NWR,802-868-4781,Swanton,VT,http://www.fws.gov/refuges/profiles/index.cfm?id=53520,YES,YES
North Hartland Lake,802-295-2855,Hartland,VT,http://www.nae.usace.army.mil/Missions/Recreation/NorthHartlandLake.aspx,YES,YES
Colville NF - Main Office,509-684-7000,Colville,WA,http://www.fs.fed.us/r6/colville/contactus/,YES,YES
Colville NF - Newport District,509-447-7300,Newport,WA,http://www.fs.fed.us/r6/colville/contactus/,YES,YES
Colville NF - Republic District,509-775-7400,Republic,WA,http://www.fs.fed.us/r6/colville/contactus/,YES,YES
Colville NF - Sullivan Lake District,509-446-7500,Metaline Falls,WA,http://www.fs.fed.us/r6/colville/contactus/,YES,YES
Colville NF - Three Rivers District,509-738-7700,Kettle Falls,WA,http://www.fs.fed.us/r6/colville/contactus/,YES,YES
Fort Vancouver National Historic Site,360-816-6230,Vancouver,WA,http://www.nps.gov/fova/,YES,YES
Gifford Pinchot NF - Cowlitz Valley District,360-497-1100,Randle,WA,http://www.fs.fed.us/gpnf/04contact/,YES,YES
Gifford Pinchot NF - Main Office,360-891-5000,Vancouver,WA,http://www.fs.fed.us/gpnf/04contact/,YES,YES
Gifford Pinchot NF - Mt Adams District,509-395-3400,Trout Lake,WA,http://www.fs.fed.us/gpnf/04contact/,YES,YES
Glacier Public Service Center - Forest Service,360-599-2714,Glacier,WA,http://www.fs.usda.gov/mbs,YES,YES
Hells Canyon NRA - Clarkston Field Office,509-758-0616,Clarkston,WA,http://www.fs.fed.us/r6/w-w/contact/,YES,YES
Ice Harbor Lock & Dam Lake Sacajawea Campground,509-543-6068,Burbank,WA,http://www.nww.usace.army.mil/Missions/Recreation/IceHarborDamLakeSacajawea.aspx,YES,YES
Ice Harbor Lock & Dam Lake Sacajawea NRM Office,509-543-6068,Burbank,WA,http://www.nww.usace.army.mil/Missions/Recreation/IceHarborDamLakeSacajawea.aspx,YES,YES
John Day Lock and Dam - Plymouth Park,541-506-4807,Plymouth,WA,http://www.nwp.usace.army.mil/Locations/ColumbiaRiver/JohnDay.aspx,YES,YES
Klondike Gold Rush National Historical Park,206-220-4240,Seattle,WA,http://www.nps.gov/klse/,YES,YES
Lake Roosevelt National Recreation Area,509-633-9441,Coulee Dam,WA,http://www.nps.gov/laro,NO,YES
McNary Lock & Dam Lake Wallula,509-543-6068,Burbank,WA,http://www.nww.usace.army.mil/Missions/Recreation/McNaryDamandLakeWallula.aspx,YES,YES
Mid-Columbia River NWRC,509-546-8300,Burbank,WA,http://www.fws.gov/mcriver,NO,YES
Mount Rainier National Park,360-569-2211,Ashford,WA,http://www.nps.gov/mora/,YES,YES
Mount St. Helens National Volcanic Monument,360-449-7800,Amboy,WA,http://www.fs.fed.us/gpnf/04contact/,YES,YES
Mt Baker/Snoqualmie NF - Darrington District,360-436-1155,Darrington,WA,http://www.fs.fed.us/r6/mbs/contact/,YES,YES
Mt Baker/Snoqualmie NF - Enumclaw Office,360-825-6585,Enumclaw,WA,http://www.fs.fed.us/r6/mbs/contact/,YES,YES
Mt Baker/Snoqualmie NF - Mt Baker District,360-856-5700,Sedro-Woolley,WA,http://www.fs.fed.us/r6/mbs/contact/,YES,YES
Mt Baker/Snoqualmie NF - Skykomish District,360-677-2414,Skykomish,WA,http://www.fs.fed.us/r6/mbs/contact/,YES,YES
Mt Baker/Snoqualmie NF - Snoqualmie District,425-888-1421,North Bend,WA,http://www.fs.fed.us/r6/mbs/contact/,YES,YES
Nisqually NWR,360-753-9467,Olympia,WA,http://www.fws.gov/nisqually/,YES,YES
North Cascades Golden West Visitors Center,360-854-7365 x 14,Stehekin,WA,http://www.nps.gov/noca/,YES,YES
North Cascades National Park,360-854-7200,Sedro-Woolley,WA,http://www.nps.gov/noca/,YES,YES
North Cascades Visitors Center,206-386-4495,Newhalem,WA,http://www.nps.gov/noca/,YES,YES
North Cascades Wilderness Information Center,360-854-7245,Marblemount,WA,http://www.nps.gov/noca/,YES,YES
Okanogan-Wenatchee NF - Chelan District,509-682-2576,Chelan,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF - Cle Elum District,509-852-1100,Cle Elum,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF - Entiat District,509-784-1511,Entiat,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF - Main Office,509-664-9200,Wenatchee,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF - Methow Valley District,509-996-4003,Winthrop,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF - Naches District,509-653-1400,Naches,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF - Okanogan Valley Office,509-826-3275,Okanogan,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF - Tonasket District,509-486-2186,Tonasket,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Okanogan-Wenatchee NF -Wenatchee River District,509-548-6977,Leavenworth,WA,http://www.fs.fed.us/r6/wenatchee/contact/index.shtml,YES,YES
Olympic National Park,360-565-3130,Port Angeles,WA,http://www.nps.gov/olym/,YES,YES
Olympic NF - Hood Canal District,360-765-2200,Quilcene,WA,http://www.fs.fed.us/r6/olympic/contact/,YES,YES
Olympic NF - Main Office,360-956-2402,Olympia,WA,http://www.fs.fed.us/r6/olympic/contact/,YES,YES
Olympic NF - Pacific District,360-374-7566,Forks,WA,http://www.fs.fed.us/r6/olympic/contact/,YES,YES
Olympic NF - Pacific District,360-288-2525,Quinault,WA,http://www.fs.fed.us/r6/olympic/contact/,YES,YES
Outdoor Recreation Information Center - Seattle Flagship REI Store,206-470-4060,Seattle,WA,http://www.discovernw.org/oric,YES,YES
Ridgefield NWRC,360-887-4106,Ridgefield,WA,http://www.fws.gov/ridgefieldrefuges/,YES,YES
Spokane BLM Office,509-536-1200,Spokane,WA,http://www.blm.gov/or/districts/spokane/index.php,YES,YES
Turnbull NWR,509-235-4723,Cheney,WA,http://www.fws.gov/turnbull/,YES,YES
Umatilla NF - Pomeroy District,509-843-1891,Pomeroy,WA,http://www.fs.fed.us/r6/uma/contact/index.shtml,YES,YES
Umatilla NF - Walla Walla District,509-522-6290,Walla Walla,WA,http://www.fs.fed.us/r6/uma/contact/index.shtml,YES,YES
Verlot Public Service Center - Forest Service,360-691-7791,Granite Falls,WA,http://www.fs.usda.gov/mbs,YES,YES
Wenatchee Resource Area,509-665-2100,Wenatchee,WA,http://www.blm.gov/or/contacts_list.php,YES,YES
Washington Maritime NWRC (Dungeness NWR),360-457-8451,Sequim,WA ,http://www.fws.gov/refuge/dungeness,YES,YES
Apostle Islands National Lakeshore,715-779-3397,Bayfield,WI,http://www.nps.gov/apis/,YES,YES
Blackhawk Park,608-648-3314,DeSoto,WI,http://www.mvp.usace.army.mil/Missions/Recreation/BlackhawkPark.aspx,YES,YES
Chequamegon-Nicolet NF - Florence Wild Rivers Center,715-528-4464,Florence,WI,http://www.fs.fed.us/r9/cnnf/general/visitor_centers/index.html,YES,YES
Chequamegon-Nicolet NF - Main Office,715-362-1371,Rhinelander,WI,http://www.fs.fed.us/r9/cnnf/,YES,YES
Eau Galle Recreation Area,715-778-5562,Spring Valley,WI,http://www.mvp.usace.army.mil/Missions/Recreation/EauGalleRecreationArea.aspx,YES,YES
Horicon National Wildlife Refuge,920-387-2658,Mayville,WI,http://www.fws.gov/midwest/Horicon/,YES,YES
Necedah National Wildlife Refuge,608-565-2551,Necedah,WI,http://www.fws.gov/midwest/Necedah/,YES,YES
Trempealeau National Wildlife Refuge,608-539-2311,Trempealeau,WI,http://www.fws.gov/midwest/Trempealeau/,YES,YES
Upper Mississippi River National Wildlife & Fish Refuge - La Crosse District,608-779-4089,Onalaska,WI,http://www.fws.gov/midwest/UpperMIssissippiRiver/,NO,YES
US Forest Service Region 9,414-297-3600,Milwaukee,WI,http://www.fs.fed.us/r9,YES,YES
Beech Fork Lake,304-525-4831,Lavalette,WV,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/WestVirginia/BeechForkLake.aspx,YES,YES
Burnsville Lake,304-853-2371,Burnsville,WV,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/WestVirginia/BurnsvilleLake.aspx,YES,YES
East Lynn Lake,304-849-2355,East Lynn,WV,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/WestVirginia/EastLynnLake.aspx,YES,YES
Harpers Ferry National Historical Park,304-535-6029,Harpers Ferry,WV,http://www.nps.gov/hafe/,YES,YES
Jennings Randolph Lake Project,304-355-2346,Elk Garden,WV,http://www.nab.usace.army.mil/Missions/DamsRecreation/JenningsRandolphLake.aspx,YES,YES
LRH - District Office,304-399-6989,Huntington,WV,http://www.lrh.usace.army.mil/,YES,YES
Monongahela NF - Cheat District,304-478-3251,Parsons,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - Cranberry Mountain Nature Center,304-653-4826,Marlinton,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - Gauley District,304-846-2695,Richwood,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - Greenbrier District,304-456-3335,Bartow,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - Main Office,304-636-1800,Elkins,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - Marlinton District,304-799-4334,Marlinton,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - Potomac District,304-257-4488,Petersburg,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - Seneca Rocks Discovery Center,304-567-2827,Seneca Rocks,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
Monongahela NF - White Sulphur Springs District,304-536-2144,White Sulphur Springs,WV,http://www.fs.fed.us/r9/mnf/general_info/addinformation.shtml,YES,YES
New River Gorge National River,304-574-2115,Fayetteville,WV,http://www.nps.gov/neri/,NO,YES
Ohio River Islands NWR,304-375-2923,Williamstown,WV,http://www.fws.gov/northeast/ohioriverislands/,NO,YES
R.D. Bailey Lake,304-664-3220,Justice,WV,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/WestVirginia/RDBaileyLake.aspx,YES,YES
Summersville Lake,304-872-3412,Summersville,WV,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/WestVirginia/SummersvilleLake.aspx,YES,YES
Sutton Lake,304-765-2816,Sutton,WV,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/WestVirginia/SuttonLake.aspx,YES,YES
Tygart Lake,304-265-1760,Grafton,WV,http://www.lrp.usace.army.mil/Missions/Recreation/Lakes/TygartLake.aspx,YES,YES
Bighorn Canyon National Recreation Area,307-548-5406,Lovell,WY,http://www.nps.gov/bica/,YES,YES
Bighorn NF - Main Office,307-674-2600,Sheridan,WY,http://www.fs.fed.us/r2/bighorn/contact/district/,YES,YES
Bighorn NF - Medicine Wheel/Paintrock District,307-548-6541,Lovell,WY,http://www.fs.fed.us/r2/bighorn/contact/district/,YES,YES
Bighorn NF - Powder River District,307-684-7806,Buffalo,WY,http://www.fs.fed.us/r2/bighorn/contact/district/,YES,YES
Black Hills NF - Bearlodge District,307-283-1361,Sundance,WY,http://www.fs.fed.us/r2/blackhills/contact/addresses_new.shtml,YES,YES
Black Hills NF - Hell Canyon District,307-746-2782,Newcastle,WY,http://www.fs.fed.us/r2/blackhills/contact/addresses_new.shtml,YES,YES
Bridger-Teton NF - Big Piney District,307-276-3375,Big Piney,WY,http://www.fs.fed.us/r4/btnf/contact/,YES,YES
Bridger-Teton NF - Buffalo District,307-543-2386,Moran,WY,http://www.fs.fed.us/r4/btnf/contact/,YES,YES
Bridger-Teton NF - Greys River District,307-886-5300,Afton,WY,http://www.fs.fed.us/r4/btnf/contact/,YES,YES
Bridger-Teton NF - Kemmerer District,307-877-4415,Kemmerer,WY,http://www.fs.fed.us/r4/btnf/contact/,YES,YES
Bridger-Teton NF - Pinedale District,307-367-4326,Pinedale,WY,http://www.fs.fed.us/r4/btnf/contact/,YES,YES
Bridger-Teton NF - Supervisor's Office,307-739-5500,Jackson,WY,http://www.fs.fed.us/r4/btnf/contact/,YES,YES
Buffalo Field Office - BLM,307-684-1100,Buffalo,WY,http://www.blm.gov/wy/st/en/field_offices/Buffalo.html,YES,YES
Casper Field Office - BLM,307-261-7600,Casper,WY,www.blm.gov/wy/st/en/field_offices/Casper,YES,YES
Cody BLM Field Office,307-578-5900,Cody,WY,http://www.blm.gov/wy/st/en/field_offices/Cody.html,YES,YES
Devils Tower National Monument,307-467-5283,Devils Tower,WY,http://www.nps.gov/deto/,YES,NO
Fossil Butte National Monument,307-877-4455,Kemmerer,WY,http://www.nps.gov/fobu/,YES,NO
Grand Teton National Park,307-739-3300,Moose,WY,http://www.nps.gov/grte/,YES,YES
Kemmerer BLM Field Office,307-828-4500,Kemmerer,WY,http://www.blm.gov/wy/st/en/field_offices/Kemmerer.html,YES,YES
Lander BLM Field Office,307-332-8400,Lander,WY,http://www.blm.gov/wy/st/en/field_offices/Lander.html,YES,YES
Medicine Bow NF - Brush Creek/Hayden District,307-326-5258,Saratoga,WY,http://www.fs.fed.us/r2/mbr/contact/,YES,YES
Medicine Bow NF - Main Office,307-745-2300,Laramie,WY,http://www.fs.fed.us/r2/mbr/contact/,YES,YES
National Elk Refuge,307-739-9322,Jackson,WY,http://www.fws.gov/nationalelkrefuge/,YES,YES
National Historic Trails Interpretive Center ,307-261-7700,Casper,WY,www.blm.gov/wy/st/en/NHTIC.html,YES,YES
Pinedale Field Office - BLM,307-367-5300,Pinedale,WY,http://www.blm.gov/wy/st/en/field_offices/Pinedale.html,YES,YES
Rawlins Field Offfice - BLM,307-328-4200,Rawlins,WY,http://www.blm.gov/wy/st/en/field_offices/Rawlins.html,YES,YES
Rock Springs Field Office - BLM,307-352-0256,Rock Springs,WY,http://www.blm.gov/wy/st/en/field_offices/Rock_Springs.html,YES,YES
Shoshone NF - Main Office,307-527-6241,Cody,WY,http://www.fs.fed.us/r2/shoshone/contact/,YES,YES
Shoshone NF - North Zone District,307-527-6921,Cody,WY,http://www.fs.fed.us/r2/shoshone/contact/,YES,YES
Shoshone NF - Washakie District,307-332-5460,Lander,WY,http://www.fs.fed.us/r2/shoshone/contact/,NO,YES
Shoshone NF - Wind River District,307-455-2466,Dubois,WY,http://www.fs.fed.us/r2/shoshone/contact/,NO,YES
Uinta-Wasatch-Cache NF - Evanston District,307-789-3194,Evanston,WY,http://www.fs.fed.us/r4/uwc/contact/,YES,YES
Uinta-Wasatch-Cache NF - Mountain View Office,307-782-6555,Mountain View,WY,http://www.fs.fed.us/r4/uwc/contact/,YES,YES
Worland BLM Field Office,307-347-5100,Worland,WY,http://www.blm.gov/wy/st/en/field_offices/Worland.html,YES,YES
Wyoming BLM Office,307-775-6256,Cheyenne,WY,http://www.blm.gov/wy/st/en.html,YES,YES
Yellowstone National Park,307-344-7381,NW Wyoming,WY,http://www.nps.gov/yell/,YES,YES
PUERTO RICO,,,,,,
